Parcel / Reference ,COA #,Legal Description,Address,Code,Taxes Owed for Sale 337
079006 / WURT00003  30,1,"The East 58 feet of Tract 4, EDWARD STEELE SECOND SUBDIVISION, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 3510 Woodend Avenue),( I ),"Taxes from 2006 thru 2015= $8,050.76"
095292 / ROME00051  10,2,"Lot 32 and the East 6.5 feet of Lot 31, Block 7, BRIGHTON HILL, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 808 Garfield Avenue),( I ),"Taxes from 2013 thru 2014= $1,639.48"
009445 / WEBB00038    10,11,"Lot 4, Block 11, HUNTER'S GLEN NO 2, a subdivision of land in Kansas City, Wyandotte Coounty, Kansas.",(Approx .Add. 822 North 83rd Drive),( I ),"Taxes from 2011 thru 2015= $7,164.83"
008952 / BAKE00116  10,16,"Lot 29, Block 11, STONY POINT HEIGHTS, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 733 North 81st Terrace),( I ),"Taxes from 2013 thru 2015= $2,635.05"
033524 / BMTR00001  10,23,"All of Lot 55, in SUNSET HILLS ADDITION NO. 3, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 6419 Parkview Avenue),( I ),"Taxes from 2013 thru 2014= $3,373.52"
034905 / DAIL00005  10,25,"The East 181 feet of the North 56 feet of Lot 4 and the East 181 feet of the South 60 feet of Lot 5 in J.L. SARTIN'S SUBDIVISION, a subdivision in Kansas City, Wyandotte County, Kansas, and the South 118 feet of the North 236 feet of Lot 5 in J.L. SARTIN'S SUBDIVISION, a subdivision of land in Kansas City, Wyandotte County, Kansas except the West 18 feet of said lot, which is reserved for a road.",(Approx .Add. 3131 North 70th Terrace),( I ),"Taxes from 2013 thru 2015= $3,223.45"
036103 / VIVI00008  10,27,"Lot 4, MIROS HIGHLANDS, a subdivison of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2123 & 2125 North 56th Terrace),( I ),"Taxes from 2011 thru 2015= $5,162.88"
002021 / CONT00047  10,32,"The North 148.708 feet of Lot 4, EXCEPT the West 90 feet thereof, in TRULL SUBDIVISION, a subdivision of land now in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 6521 Leavenworth Road),( I ),"Taxes from 2012 thru 2015= $4,668.62"
027243 / PATT00026  10,35,"Lot 16, less the West 42.5 feet and less the South 126 feet in RESURVEY HAMMOND PLACE, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 5701 Parkview Avenue),( I ),"Taxes from 2012 thru 2015= $2,931.82"
027907 / LILL00006  30,38,"Lot 8, Block 36, RESURVEY OF FIRST ADDITION TO HIGHLAND CREST, now in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2423 South 51st Court),( I ),"Taxes from 2008 thru 2009= $4,562.12"
028463 / TONY00001  30,40,"Lot 20, Block 29, HIGHLAND CREST, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2910 South 51st Street),( I ),"Taxes from 2013 thru 2015= $2,489.45"
030023 / CHAM00017  30,51,"Lot 24, less the East 5 feet, Block 47, HIGHLAND CREST 2ND ADDITION, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 4725 Ottawa Street),( I ),"Taxes from 2011 thru 2015= $1,768.24"
054043 / HOCK00011  10,54,"Lot 14, Block 2, KERR'S PARK ADDITION, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 1858 Armstrong Avenue),( I ),"Taxes from 2012 thru 2015= $2,969.40"
017128 / FERN00086  30,61,"Lot 6, Block 14, REDWOOD GARDENS, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 840 North 70th Street),( I ),"Taxes from 2013 thru 2015= $1,529.06"
037326 / ENGL00043  10,64,"Lot 3, Block 8, WILLIAM E. CARSON ADDITION, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 5807 Georgia Avenue),( I ),"Taxes from 2013 thru 2014= $2,975.02"
040013 / COCH00005  10,70,"The South 1/2 of Lot 7, LANE'S SUBDIVISION, less that part sold to the city, in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2021 North 54th Street),( I ),"Taxes from 2011 thru 2015= $4,648.62"
040805 / ANGE00009  10,71,"All of Lot 4, in WYN-MAR GARDENS, a subdivision of land in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 2857 North 83rd Terrace),( I ),"Taxes from 2013 thru 2015= $6,501.07"
046305 / LONG00058  30,78,"A tract of land in Lot 4, CUNNINGHAM FARMS, a subdivision in Kansas City, Wyandotte County, Kansas, described as follows: Beginning at the Southeast corner of Lot 4, thence North 644.65 feet; thence West 85 feet; thence South and parallel to the East line of Lot 4, 645.02 feet; thence East 85 feet to the point of beginning.",(Approx .Add. 6734 Berry Road),( I ),"Taxes from 2012 thru 2015= $5,432.38"
047547 / XION00014  10,83,"The North 1/2 of Lot 54, COMB'S PARK, an addition in Kansas City, Wyandotte County, Kansas.",(Approx .Add. 4917 Nebraska Avenue),( I ),"Taxes from 2010 thru 2015= $2,993.83"
